岗位id,城市,公司全名,公司缩写,福利待遇,工作地点,学历要求,工作类型,发布时间,职位名称,薪资,工作年限,公司类型,公司规模,公司阶段
6417661,深圳,深圳美西西餐饮管理有限公司,喜茶,"['年底双薪', '带薪年假', '节日礼物', '美女多']",南山区,本科,产品|需求|项目类,09:19发布,数据分析师,15k-25k,3-5年,消费生活,2000人以上,B轮
6325547,北京,贝壳找房（北京）科技有限公司,贝壳,"['股票期权', '带薪年假', '绩效奖金', '扁平管理']",海淀区,本科,开发|测试|运维类,3天前发布,数据分析师,20k-40k,3-5年,房产家居,2000人以上,D轮及以上
6409589,深圳,深圳市创梦天地科技有限公司,乐逗游戏,"['绩效奖金', '五险一金', '带薪年假', '节日礼物']",南山区,本科,开发|测试|运维类,3天前发布,数据分析师,10k-20k,3-5年,游戏,500-2000人,上市公司
6422612,北京,久爱致和（北京）科技有限公司,久爱致和,"['节日礼物', '技能培训', '绩效奖金', '年度旅游']",海淀区,本科,产品|需求|项目类,12:11发布,数据分析,6k-8k,1年以下,电商,150-500人,上市公司
6064282,深圳,中国平安财产保险股份有限公司,平安产险,"['绩效奖金 ', '五险一金 ', '带薪年假 ', '年度旅游 ']",福田区,硕士,金融类,00:00发布,032303-数据分析师,11k-22k,3-5年,金融,2000人以上,上市公司
6417704,杭州,杭州登虹科技有限公司,登虹,"['年底双薪', '股票期权', '定期体检', '午餐补助']",西湖区,本科,产品|需求|项目类,1天前发布,数据分析,12k-20k,3-5年,移动互联网,150-500人,B轮
6411310,西安,武汉佰钧成技术有限责任公司,武汉佰钧成技术有限公司,"['带薪年假', '计算机软件', '管理规范', '定期体检']",高新技术产业开发区,本科,产品|需求|项目类,10:26发布,数据分析,8k-16k,3-5年,移动互联网,2000人以上,不需要融资
6420306,北京,北京众合天下管理咨询有限公司,51社保网,"['绩效奖金', '专项奖金', '带薪年假', '弹性工作']",朝阳区,本科,开发|测试|运维类,1天前发布,数据分析,10k-20k,3-5年,"企业服务,教育",500-2000人,C轮
6234992,杭州,杭州火烧云科技有限公司,婚礼纪,"['美女多', '六险一金', '快乐高效文化', '绩效奖金']",西湖区,本科,产品|需求|项目类,1天前发布,数据分析师,10k-20k,1-3年,消费生活,500-2000人,D轮及以上
6423517,上海,迪卡侬（上海）体育用品电子商务有限公司,迪卡侬,"['技能培训', '带薪年假', '岗位晋升', '定期体检']",浦东新区,本科,产品|需求|项目类,14:48发布,数据分析师,10k-12k,1-3年,"电商,文娱丨内容",150-500人,不需要融资
6421625,北京,北京奇艺世纪科技有限公司,爱奇艺,"['绩效奖金', '五险一金', '交通补助', '带薪年假']",海淀区,本科,产品|需求|项目类,14:53发布,数据分析师,13k-25k,1-3年,文娱丨内容,2000人以上,上市公司
6418302,北京,北京一览科技有限公司,一览科技,"['股票期权', '弹性工作', '领导好', '扁平管理']",朝阳区,本科,产品|需求|项目类,1天前发布,数据分析师,15k-30k,3-5年,文娱丨内容,150-500人,B轮
6422971,广州,广东健客医药有限公司,健客网,"['节日礼物', '技能培训', '绩效奖金', '年度旅游']",萝岗区,本科,产品|需求|项目类,13:54发布,数据分析师,6k-10k,不限,"电商,医疗丨健康",500-2000人,B轮
6419538,北京,上海卓赞教育科技有限公司,DaDa,"['技能培训', '节日礼物', '带薪年假', '岗位晋升']",丰台区,本科,产品|需求|项目类,1天前发布,数据分析师,12k-16k,1-3年,教育,2000人以上,D轮及以上
6369329,北京,北京达佳互联信息技术有限公司,快手,"['股票期权', '弹性工作', '定期体检', '岗位晋升']",海淀区,硕士,产品|需求|项目类,2019/9/11,数据分析师,15k-30k,1-3年,文娱丨内容,2000人以上,D轮及以上
6422196,北京,北京三快在线科技有限公司,美团点评,"['技能培训', '绩效奖金', '岗位晋升', '领导好']",朝阳区,本科,产品|需求|项目类,14:17发布,数据分析师,15k-30k,3-5年,消费生活,2000人以上,上市公司
6422266,北京,欧普拉软件技术（北京）有限公司,Opera,"['浏览器', '移动互联网', 'c++', '安卓']",东城区,本科,产品|需求|项目类,11:29发布,数据分析师,20k-40k,3-5年,移动互联网,500-2000人,上市公司
6421702,北京,北京佰策科技有限公司,佰策科技,"['年底双薪', '带薪年假', '股票期权', '扁平管理']",朝阳区,本科,产品|需求|项目类,10:36发布,数据分析师,20k-40k,3-5年,广告营销,150-500人,A轮
6412521,上海,上海点融信息科技有限责任公司,点融,"['节日礼物', '带薪年假', '岗位晋升', '扁平管理']",黄浦区,本科,产品|需求|项目类,1天前发布,数据分析师,15k-25k,1-3年,金融,150-500人,D轮及以上
6417039,上海,上海河姆渡实业发展有限公司,河姆渡电子商务有限公司,[],浦东新区,本科,开发|测试|运维类,1天前发布,数据分析师,15k-25k,3-5年,电商,500-2000人,A轮
5418086,北京,贝壳找房（北京）科技有限公司,贝壳,"['股票期权', '带薪年假', '绩效奖金', '扁平管理']",海淀区,本科,开发|测试|运维类,2天前发布,数据分析师,15k-25k,3-5年,房产家居,2000人以上,D轮及以上
6372834,北京,北京达佳互联信息技术有限公司,快手,"['股票期权', '弹性工作', '定期体检', '岗位晋升']",海淀区,本科,开发|测试|运维类,2019/9/11,数据分析师,20k-40k,不限,文娱丨内容,2000人以上,D轮及以上
6413962,南京,成都冰鉴信息科技有限公司,冰鉴科技,"['带薪年假', '定期体检', '年度旅游', '金融科技']",鼓楼区,硕士,开发|测试|运维类,2天前发布,数据分析师--偏建模,15k-30k,1-3年,金融,150-500人,B轮
5823253,北京,北京达佳互联信息技术有限公司,快手,"['股票期权', '弹性工作', '定期体检', '岗位晋升']",海淀区,本科,产品|需求|项目类,11:56发布,数据分析师（业务分析）-【商业化】,20k-40k,3-5年,文娱丨内容,2000人以上,D轮及以上
6414993,杭州,北京字节跳动科技有限公司,字节跳动,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",江干区,本科,产品|需求|项目类,05:44发布,数据分析师,15k-25k,3-5年,文娱丨内容,2000人以上,C轮
5318879,上海,星环信息科技（上海）有限公司,星环科技,"['五险一金', '年底双薪', '带薪年假', '弹性工作']",徐汇区,本科,开发|测试|运维类,2019/9/10,数据分析师 (MJ000268),10k-20k,不限,数据服务,150-500人,C轮
6409705,北京,北京趣拿软件科技有限公司,去哪儿网,"['技能培训', '节日礼物', '带薪年假', '试用期全薪']",海淀区,本科,产品|需求|项目类,12:03发布,数据分析师 (MJ004046),15k-30k,3-5年,旅游,2000人以上,不需要融资
6387818,深圳,中国平安财产保险股份有限公司,平安产险,"['绩效奖金 ', '五险一金 ', '带薪年假 ', '年度旅游 ']",福田区,本科,产品|需求|项目类,00:00发布,数据分析师,11k-15k,1-3年,金融,2000人以上,上市公司
6053955,北京,贝壳找房（北京）科技有限公司,贝壳,"['股票期权', '带薪年假', '绩效奖金', '扁平管理']",海淀区,本科,开发|测试|运维类,2天前发布,资深数据分析师,35k-55k,5-10年,房产家居,2000人以上,D轮及以上
6409170,深圳,中原地产代理（深圳）有限公司,深圳中原地产,"['节日礼物', '专项奖金', '带薪年假', '年度旅游']",南山区,硕士,产品|需求|项目类,3天前发布,数据分析员,7k-9k,1年以下,消费生活,2000人以上,不需要融资
5102463,北京,欧科互动网络科技（北京）有限公司,OKCoin,"['节日礼物', '年度旅游', '扁平管理', '领导好']",海淀区,本科,开发|测试|运维类,2019/8/30,数据分析师,20k-40k,5-10年,金融,500-2000人,B轮
6124529,北京,贝壳找房（北京）科技有限公司,贝壳,"['股票期权', '带薪年假', '绩效奖金', '扁平管理']",海淀区,本科,产品|需求|项目类,1天前发布,数据分析师-业务分析方向,20k-40k,3-5年,房产家居,2000人以上,D轮及以上
6385470,北京,北京拉勾网络技术有限公司,拉勾网,"['五险一金', '弹性工作', '带薪年假', '免费两餐']",海淀区,本科,产品|需求|项目类,2天前发布,资深数据分析师,20k-35k,3-5年,企业服务,500-2000人,D轮及以上
6151398,北京,上海阅文信息技术有限公司,阅文集团,"['年终分红', '年底双薪', '五险一金', '交通补助']",朝阳区,本科,产品|需求|项目类,2019/8/26,数据分析（BI开发）,20k-40k,3-5年,文娱丨内容,500-2000人,上市公司
5205509,北京,北京拉勾网络技术有限公司,拉勾网,"['五险一金', '弹性工作', '带薪年假', '免费两餐']",海淀区,本科,产品|需求|项目类,2天前发布,高级数据分析师,20k-40k,5-10年,企业服务,500-2000人,D轮及以上
6409070,北京,跨越速运集团有限公司,跨越速运,"['节日礼物', '免费班车', '带薪年假', '绩效奖金']",朝阳区,不限,开发|测试|运维类,14:52发布,数据分析工程师,18k-35k,3-5年,其他,2000人以上,不需要融资
6421566,北京,北京瓴岳信息技术有限公司,洋钱罐,"['14薪', '弹性工作', '零食水果', '午餐晚餐']",朝阳区,本科,开发|测试|运维类,10:23发布,数据分析工程师,15k-30k,1-3年,金融,150-500人,不需要融资
6410769,北京,华农财产保险股份有限公司,华农保险,"['节日礼物', '带薪年假', '绩效奖金', '岗位晋升']",西城区,本科,金融类,2天前发布,精算师-数据分析师,5k-10k,不限,金融,500-2000人,不需要融资
5416597,上海,上海钧正网络科技有限公司,哈啰出行,"['绩效奖金', '年底双薪', '股票期权', '交通补助']",闵行区,不限,产品|需求|项目类,2019/8/29,数据分析师 (MJ003207),15k-25k,不限,硬件,2000人以上,D轮及以上
6353188,深圳,深圳市阿卡索资讯股份有限公司,阿卡索外教网,"['带薪年假', '弹性工作', '美女多', '领导好']",罗湖区,本科,产品|需求|项目类,1天前发布,部门数据分析师（管理运营）,8k-12k,1-3年,教育,2000人以上,C轮
5009945,上海,上海钧正网络科技有限公司,哈啰出行,"['绩效奖金', '年底双薪', '股票期权', '交通补助']",闵行区,不限,开发|测试|运维类,3天前发布,数据分析经理,26k-40k,5-10年,硬件,2000人以上,D轮及以上
5636208,北京,上海阅文信息技术有限公司,阅文集团,"['年终分红', '年底双薪', '五险一金', '交通补助']",朝阳区,本科,产品|需求|项目类,2019/8/26,数据分析师,20k-30k,1-3年,文娱丨内容,500-2000人,上市公司
5482819,上海,北京至上泽思信息技术有限公司,ZRobot,"['带薪年假', '年度旅游', '节日礼物', '领导好']",黄浦区,本科,开发|测试|运维类,13:27发布,初级数据分析师-数据分析与建模方向,20k-40k,3-5年,"数据服务,企业服务",50-150人,不需要融资
6339872,北京,北京拉勾网络技术有限公司,拉勾网,"['五险一金', '弹性工作', '带薪年假', '免费两餐']",海淀区,不限,产品|需求|项目类,2天前发布,高级数据分析师,15k-30k,3-5年,企业服务,500-2000人,D轮及以上
6423067,上海,上海享物说网络科技有限公司,享物说,"['交通补助', '带薪年假', '高颜值高学历', '年轻自由']",徐汇区,本科,开发|测试|运维类,14:04发布,数据分析实习生,2k-4k,1年以下,消费生活,150-500人,B轮
6418087,梅州,广州丰石科技有限公司,广州丰石科技,"['绩效奖金', '通讯津贴', '定期体检', '带薪年假']",梅江区,大专,产品|需求|项目类,1天前发布,数据分析工程师,3k-5k,不限,数据服务,150-500人,A轮
6408284,成都,苏州棱镜七彩信息科技有限公司,棱镜七彩,"['股票期权', '带薪年假', '专项奖金', '弹性工作']",高新区,本科,开发|测试|运维类,3天前发布,数据分析助理（兼职）,3k-6k,不限,信息安全,15-50人,天使轮
6417876,成都,成都乐信圣文科技有限责任公司,乐信圣文,"['带薪年假', '午餐补助', '年终奖金', '五险一金']",双流区,本科,产品|需求|项目类,1天前发布,初级数据分析师,6k-12k,不限,"游戏,医疗丨健康",150-500人,B轮
6417800,北京,北京链家房地产经纪有限公司,北京链家,"['年终分红', '绩效奖金', '股票期权', '专项奖金']",朝阳区,本科,综合职能|高级管理,1天前发布,数据分析专员(J16181),8k-10k,不限,房产家居,2000人以上,不需要融资
6408184,杭州,浙江古茗科技有限公司,古茗茶饮,"['带薪年假', '扁平管理', '技能培训', '节日礼物']",萧山区,本科,开发|测试|运维类,2天前发布,资深数据分析师,15k-25k,3-5年,消费生活,150-500人,未融资
6420471,广州,广州棒谷科技股份有限公司,广州棒谷科技股份有限公司,"['项目奖金', '绩效奖金', '年终奖', '五险一金']",白云区,不限,产品|需求|项目类,1天前发布,高级数据分析师,12k-18k,3-5年,电商,2000人以上,不需要融资
6407908,深圳,深圳市一面网络技术有限公司,一面数据,"['技能培训', '海归精英团队', 'Geek分享', '绩效奖金']",南山区,本科,开发|测试|运维类,15:03发布,数据分析师助理,5k-8k,不限,数据服务,50-150人,A轮
6409546,广州,广州迈步网络技术有限公司,迈步网络（MIB）,"['16薪', '双休', '弹性工作制', '包三餐']",天河区,本科,开发|测试|运维类,1天前发布,初/中级数据分析师,8k-15k,1-3年,"消费生活,数据服务",150-500人,不需要融资
6358404,上海,上海微创软件股份有限公司,微创软件,"['绩效奖金', '年底双薪', '带薪年假', '定期体检']",闵行区,本科,开发|测试|运维类,13:38发布,2020校招| 数据分析实习生（AI/BI）,5k-8k,应届毕业生,企业服务,2000人以上,不需要融资
6416456,武汉,武汉牧望群网络科技有限公司,牧望群网络,[],东湖新技术开发区,本科,开发|测试|运维类,10:32发布,高级数据分析师,20k-40k,3-5年,游戏,15-50人,A轮
6315549,北京,北京达佳互联信息技术有限公司,快手,"['股票期权', '弹性工作', '定期体检', '岗位晋升']",海淀区,本科,产品|需求|项目类,2天前发布,数据分析师,20k-40k,3-5年,文娱丨内容,2000人以上,D轮及以上
6034495,北京,贝壳找房（北京）科技有限公司,贝壳,"['股票期权', '带薪年假', '绩效奖金', '扁平管理']",海淀区,本科,产品|需求|项目类,2019/9/2,数据分析师,20k-40k,5-10年,房产家居,2000人以上,D轮及以上
6256751,深圳,贝壳找房（北京）科技有限公司,贝壳,"['股票期权', '带薪年假', '绩效奖金', '扁平管理']",福田区,本科,开发|测试|运维类,2019/9/10,数据分析师,8k-12k,3-5年,房产家居,2000人以上,D轮及以上
6217427,北京,贝壳找房（北京）科技有限公司,贝壳,"['股票期权', '带薪年假', '绩效奖金', '扁平管理']",海淀区,本科,开发|测试|运维类,10:40发布,数据分析经理,30k-50k,5-10年,房产家居,2000人以上,D轮及以上
5601338,北京,北京达佳互联信息技术有限公司,快手,"['股票期权', '弹性工作', '定期体检', '岗位晋升']",海淀区,本科,产品|需求|项目类,2天前发布,数据分析专家,25k-45k,3-5年,文娱丨内容,2000人以上,D轮及以上
5605166,天津,北京达佳互联信息技术有限公司,快手,"['股票期权', '弹性工作', '定期体检', '岗位晋升']",西青区,本科,产品|需求|项目类,09:47发布,数据分析专员,8k-10k,1-3年,文娱丨内容,2000人以上,D轮及以上
6414313,上海,上海找钢网信息科技股份有限公司,找钢网,[],杨浦区,本科,开发|测试|运维类,2天前发布,高级数据分析师,20k-30k,5-10年,电商,500-2000人,D轮及以上
6408896,南京,江苏五星电器有限公司,五星电器,"['节日礼物', '带薪年假', '绩效奖金', '年度旅游']",鼓楼区,本科,产品|需求|项目类,2天前发布,高级数据分析师,18k-30k,5-10年,"电商,消费生活",2000人以上,不需要融资
6420114,北京,紫梧桐（北京）资产管理有限公司,蛋壳公寓,"['技能培训', '年底双薪', '股票期权', '带薪年假']",东城区,本科,运营|编辑|客服类,1天前发布,高级数据分析师,15k-20k,5-10年,消费生活,2000人以上,C轮
6409152,深圳,深圳前海微众银行股份有限公司,微众银行,"['技能培训', '年底双薪', '节日礼物', '绩效奖金']",南山区,本科,金融类,09:43发布,YFX-数据分析专员(风险监测分析),12k-20k,1-3年,金融,2000人以上,未融资
6408813,北京,北京字节跳动科技有限公司,字节跳动,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",海淀区,硕士,产品|需求|项目类,05:43发布,高级数据分析师（文旅方向）,18k-25k,3-5年,文娱丨内容,2000人以上,C轮
5516325,上海,上海钧正网络科技有限公司,哈啰出行,"['绩效奖金', '年底双薪', '股票期权', '交通补助']",闵行区,本科,产品|需求|项目类,3天前发布,业务数据分析师,15k-30k,3-5年,硬件,2000人以上,D轮及以上
6345833,上海,上海钧正网络科技有限公司,哈啰出行,"['绩效奖金', '年底双薪', '股票期权', '交通补助']",闵行区,本科,开发|测试|运维类,2019/8/29,高级/资深数据分析（单车）(J10286),15k-30k,3-5年,硬件,2000人以上,D轮及以上
6024807,上海,上海钧正网络科技有限公司,哈啰出行,"['绩效奖金', '年底双薪', '股票期权', '交通补助']",闵行区,本科,开发|测试|运维类,2019/8/22,业务数据分析(J10479),25k-45k,3-5年,硬件,2000人以上,D轮及以上
6423955,广州,浙江金科文化产业股份有限公司,金科文化,"['带薪年假', '交通补助', '通讯津贴', '午餐补助']",缺失数据,本科,产品|需求|项目类,15:32发布,数据分析（实习生）,2k-3k,1年以下,移动互联网,150-500人,上市公司
6422279,上海,上海微创软件股份有限公司,微创软件,"['绩效奖金', '年底双薪', '带薪年假', '定期体检']",闵行区,本科,产品|需求|项目类,13:38发布,数据分析（AI/BI）,5k-8k,应届毕业生,企业服务,2000人以上,不需要融资
6423531,上海,威斯科技（苏州）有限公司,威斯科技,[],杨浦区,本科,产品|需求|项目类,14:50发布,数据分析,20k-35k,5-10年,移动互联网,50-150人,未融资
6408251,广州,北京路客互联网科技有限公司,路客,"['绩效奖金', '股票期权', '带薪年假', '专项奖金']",海珠区,大专,房地产|建筑|物业,1天前发布,工程数据分析主管,5k-8k,1-3年,旅游,150-500人,A轮
6409107,北京,跨越速运集团有限公司,跨越速运,"['节日礼物', '免费班车', '带薪年假', '绩效奖金']",朝阳区,不限,产品|需求|项目类,14:52发布,高级数据分析工程师,18k-36k,5-10年,其他,2000人以上,不需要融资
6416476,佛山,佛山市悍高电商科技有限公司,悍高电商,[],顺德区,本科,产品|需求|项目类,1天前发布,数据分析师,8k-15k,1-3年,电商,500-2000人,上市公司
6410216,惠州,惠州酷友网络科技有限公司,TCL-O2O,"['年底双薪', '五险一金', '节日福利', '午餐补助']",惠城区,本科,产品|需求|项目类,2天前发布,数据分析师,10k-20k,3-5年,电商,2000人以上,未融资
6422967,深圳,深圳新超越信息技术有限公司,新超越,[],南山区,本科,开发|测试|运维类,13:54发布,数据分析师/高频量化研究员,15k-30k,5-10年,软件开发,50-150人,未融资
6409093,北京,广州数说故事信息科技有限公司,DataStory,"['颜值高', '双休日', '高大上团建', '带薪假']",朝阳区,本科,市场|商务类,09:58发布,商业数据分析师,12k-24k,3-5年,数据服务,150-500人,B轮
6354403,广州,广州大麦信息科技有限公司,大麦电商,"['绩效奖金', '五险一金', '带薪年假', '年度旅游']",越秀区,本科,产品|需求|项目类,10:41发布,数据分析师,8k-15k,1-3年,"电商,企业服务",150-500人,天使轮
6308929,珠海,东方海外货柜航运（中国）有限公司珠海分公司,东方海外信息技术开发中心,"['年底双薪', '节日礼物', '技能培训', '绩效奖金']",香洲区,本科,产品|需求|项目类,2019/9/13,数据分析（2020届）,9k-12k,应届毕业生,企业服务,500-2000人,不需要融资
5827988,北京,贝壳找房（北京）科技有限公司,贝壳,"['股票期权', '带薪年假', '绩效奖金', '扁平管理']",海淀区,本科,产品|需求|项目类,2019/9/2,数据分析师-业务运营方向,18k-35k,5-10年,房产家居,2000人以上,D轮及以上
6119205,北京,贝壳找房（北京）科技有限公司,贝壳,"['股票期权', '带薪年假', '绩效奖金', '扁平管理']",海淀区,本科,开发|测试|运维类,2019/8/27,数据分析师-业务分析方向,25k-35k,5-10年,房产家居,2000人以上,D轮及以上
5948761,北京,贝壳找房（北京）科技有限公司,贝壳,"['股票期权', '带薪年假', '绩效奖金', '扁平管理']",海淀区,本科,开发|测试|运维类,09:48发布,高级数据分析师,20k-40k,5-10年,房产家居,2000人以上,D轮及以上
6359591,北京,北京达佳互联信息技术有限公司,快手,"['股票期权', '弹性工作', '定期体检', '岗位晋升']",海淀区,硕士,产品|需求|项目类,2019/9/11,高级数据分析师,25k-50k,3-5年,文娱丨内容,2000人以上,D轮及以上
6422036,北京,车好多旧机动车经纪（北京）有限公司,车好多集团,"['带薪年假', '弹性工作', '免费班车', '五险一金']",朝阳区,本科,运营|编辑|客服类,11:07发布,数据分析实习生,3k-5k,应届毕业生,消费生活,2000人以上,D轮及以上
6418872,北京,北京车之家信息技术有限公司,汽车之家,"['技能培训', '节日礼物', '带薪年假', '绩效奖金']",海淀区,本科,产品|需求|项目类,1天前发布,经营数据分析师,25k-35k,5-10年,汽车丨出行,2000人以上,上市公司
6417866,北京,北京中交兴路车联网科技有限公司,北京中交兴路车联网科技有限公司,"['年底双薪', '节日礼物', '免费班车', '专项奖金']",海淀区,硕士,开发|测试|运维类,15:28发布,数据分析与精算实习生,4k-8k,应届毕业生,消费生活,500-2000人,未融资
6151398,北京,上海阅文信息技术有限公司,阅文集团,"['年终分红', '年底双薪', '五险一金', '交通补助']",朝阳区,本科,产品|需求|项目类,2019/8/26,数据分析（BI开发）,20k-40k,3-5年,文娱丨内容,500-2000人,上市公司
6256751,深圳,贝壳找房（北京）科技有限公司,贝壳,"['股票期权', '带薪年假', '绩效奖金', '扁平管理']",福田区,本科,开发|测试|运维类,2019/9/10,数据分析师,8k-12k,3-5年,房产家居,2000人以上,D轮及以上
6417703,北京,北京邦利德网络科技有限公司,邦利德,"['年底双薪', '交通补助', '午餐补助', '带薪年假']",海淀区,本科,运营|编辑|客服类,1天前发布,数据分析负责人,15k-30k,5-10年,电商,150-500人,B轮
5636208,北京,上海阅文信息技术有限公司,阅文集团,"['年终分红', '年底双薪', '五险一金', '交通补助']",朝阳区,本科,产品|需求|项目类,2019/8/26,数据分析师,20k-30k,1-3年,文娱丨内容,500-2000人,上市公司
6418087,梅州,广州丰石科技有限公司,广州丰石科技,"['绩效奖金', '通讯津贴', '定期体检', '带薪年假']",梅江区,大专,产品|需求|项目类,1天前发布,数据分析工程师,3k-5k,不限,数据服务,150-500人,A轮
6034495,北京,贝壳找房（北京）科技有限公司,贝壳,"['股票期权', '带薪年假', '绩效奖金', '扁平管理']",海淀区,本科,产品|需求|项目类,2019/9/2,数据分析师,20k-40k,5-10年,房产家居,2000人以上,D轮及以上
5416597,上海,上海钧正网络科技有限公司,哈啰出行,"['绩效奖金', '年底双薪', '股票期权', '交通补助']",闵行区,不限,产品|需求|项目类,2019/8/29,数据分析师 (MJ003207),15k-25k,不限,硬件,2000人以上,D轮及以上
6417800,北京,北京链家房地产经纪有限公司,北京链家,"['年终分红', '绩效奖金', '股票期权', '专项奖金']",朝阳区,本科,综合职能|高级管理,1天前发布,数据分析专员(J16181),8k-10k,不限,房产家居,2000人以上,不需要融资
6369329,北京,北京达佳互联信息技术有限公司,快手,"['股票期权', '弹性工作', '定期体检', '岗位晋升']",海淀区,硕士,产品|需求|项目类,2019/9/11,数据分析师,15k-30k,1-3年,文娱丨内容,2000人以上,D轮及以上
6410738,上海,上海汇航捷讯网络科技有限公司,运去哪,"['节日礼物', '年底双薪', '带薪年假', '绩效奖金']",浦东新区,本科,产品|需求|项目类,2天前发布,高级数据分析师,20k-30k,3-5年,"电商,企业服务",150-500人,B轮
5102463,北京,欧科互动网络科技（北京）有限公司,OKCoin,"['节日礼物', '年度旅游', '扁平管理', '领导好']",海淀区,本科,开发|测试|运维类,2019/8/30,数据分析师,20k-40k,5-10年,金融,500-2000人,B轮
5318879,上海,星环信息科技（上海）有限公司,星环科技,"['五险一金', '年底双薪', '带薪年假', '弹性工作']",徐汇区,本科,开发|测试|运维类,2019/9/10,数据分析师 (MJ000268),10k-20k,不限,数据服务,150-500人,C轮
6308929,珠海,东方海外货柜航运（中国）有限公司珠海分公司,东方海外信息技术开发中心,"['年底双薪', '节日礼物', '技能培训', '绩效奖金']",香洲区,本科,产品|需求|项目类,2019/9/13,数据分析（2020届）,9k-12k,应届毕业生,企业服务,500-2000人,不需要融资
