date,tq,temp,wind
2011年1月25日,晴/晴,0℃/-10℃,无持续风向≤3级/无持续风向≤3级
2011年1月26日,晴/多云,0℃/-8℃,无持续风向≤3级/无持续风向≤3级
2011年1月27日,晴/晴,2℃/-7℃,无持续风向≤3级/无持续风向≤3级
2011年1月28日,晴/晴,4℃/-7℃,无持续风向≤3级/无持续风向≤3级
2011年1月29日,晴/晴,-1℃/-10℃,无持续风向≤3级/无持续风向≤3级
2011年1月30日,晴/晴,3℃/-7℃,无持续风向≤3级/无持续风向≤3级
2011年1月31日,多云/雾,4℃/-2℃,无持续风向≤3级/无持续风向≤3级
2011年2月1日,晴/晴,4℃/-8℃,北风3-4级/无持续风向≤3级
2011年2月2日,晴/多云,9℃/-4℃,北风4-5级/北风4-5级
2011年2月3日,小雪/雾,0℃/-5℃,无持续风向≤3级/北风3-4级
2011年2月4日,晴/小雪,2℃/-7℃,北风3-4级/无持续风向≤3级
2011年2月5日,晴/阴,1℃/-5℃,无持续风向≤3级/无持续风向≤3级
2011年2月6日,多云/阴,9℃/-1℃,无持续风向≤3级/北风3-4级
2011年2月7日,晴/晴,8℃/-4℃,无持续风向≤3级/无持续风向≤3级
2011年2月8日,晴/多云,-2℃/-9℃,无持续风向≤3级/无持续风向≤3级
2011年2月9日,多云/多云,0℃/-6℃,无持续风向≤3级/无持续风向≤3级
2011年2月10日,晴/晴,0℃/-10℃,无持续风向≤3级/无持续风向≤3级
2011年2月11日,晴/晴,1℃/-10℃,北风3-4级/无持续风向≤3级
2011年2月12日,阴/小雪,-3℃/-6℃,无持续风向≤3级/无持续风向≤3级
2011年2月13日,晴/晴,10℃/-3℃,无持续风向≤3级/无持续风向≤3级
2011年2月14日,晴/晴,1℃/-7℃,北风4-5级/无持续风向≤3级
2011年2月15日,晴/多云,4℃/-6℃,无持续风向≤3级/无持续风向≤3级
2011年2月16日,霾/多云,5℃/-4℃,无持续风向≤3级/无持续风向≤3级
2011年2月17日,晴/晴,9℃/-2℃,无持续风向≤3级/北风3-4级
2011年2月18日,多云/晴,3℃/-8℃,北风3-4级/无持续风向≤3级
2011年2月19日,晴/晴,10℃/-3℃,无持续风向≤3级/无持续风向≤3级
2011年2月20日,晴/多云,10℃/-3℃,无持续风向≤3级/无持续风向≤3级
2011年2月21日,晴/晴,10℃/-1℃,无持续风向≤3级/无持续风向≤3级
2011年2月22日,雾/多云,9℃/0℃,无持续风向≤3级/无持续风向≤3级
2011年2月23日,多云/晴,9℃/3℃,无持续风向≤3级/无持续风向≤3级
2011年2月24日,晴/晴,10℃/-1℃,无持续风向≤3级/无持续风向≤3级
2011年2月25日,晴/雨夹雪,7℃/-1℃,无持续风向≤3级/无持续风向≤3级
2011年2月26日,小雪/小雪,2℃/-3℃,无持续风向≤3级/无持续风向≤3级
2011年2月27日,小雪/阴,2℃/-5℃,无持续风向≤3级/无持续风向≤3级
2011年2月28日,晴/晴,6℃/-4℃,无持续风向≤3级/北风3-4级
2011年3月1日,多云/晴,5℃/-3℃,无持续风向≤3级/无持续风向≤3级
2011年3月2日,晴/晴,6℃/-2℃,无持续风向≤3级/北风3-4级
2011年3月3日,晴/晴,9℃/-4℃,北风3-4级/无持续风向≤3级
2011年3月4日,晴/多云,11℃/0℃,无持续风向≤3级/无持续风向≤3级
2011年3月5日,晴/晴,13℃/1℃,无持续风向≤3级/北风3-4级
2011年3月6日,晴/晴,10℃/-1℃,北风3-4级/无持续风向≤3级
2011年3月7日,晴/晴,10℃/-1℃,北风3-4级/无持续风向≤3级
2011年3月8日,晴/晴,10℃/-1℃,北风3-4级/北风3-4级
2011年3月9日,晴/晴,11℃/-1℃,北风3-4级/无持续风向≤3级
2011年3月10日,晴/晴,15℃/1℃,无持续风向≤3级/无持续风向≤3级
2011年3月11日,多云/晴,17℃/3℃,无持续风向≤3级/无持续风向≤3级
2011年3月12日,晴/阴,19℃/7℃,无持续风向≤3级/无持续风向≤3级
2011年3月13日,多云/晴,17℃/3℃,北风4-5级/北风4-5级
2011年3月14日,多云/多云,9℃/1℃,北风3-4级/北风3-4级
2011年3月15日,晴/晴,9℃/-2℃,北风4-5级/北风3-4级
2011年3月16日,晴/晴,13℃/0℃,无持续风向≤3级/无持续风向≤3级
2011年3月17日,晴/多云,16℃/5℃,无持续风向≤3级/无持续风向≤3级
2011年3月18日,多云/晴,14℃/0℃,北风4-5级/北风3-4级
2011年3月19日,多云/多云,13℃/3℃,无持续风向≤3级/无持续风向≤3级
2011年3月20日,阴/阴,11℃/3℃,无持续风向≤3级/北风4-5级
2011年3月21日,多云/晴,8℃/-1℃,北风4-5级/北风3-4级
2011年3月22日,晴/晴,10℃/-1℃,无持续风向≤3级/无持续风向≤3级
2011年3月23日,晴/阴,11℃/1℃,北风3-4级/北风4-5级
2011年3月24日,晴/晴,12℃/0℃,北风4-5级/无持续风向≤3级
2011年3月25日,晴/晴,12℃/1℃,无持续风向≤3级/无持续风向≤3级
2011年3月26日,晴/晴,15℃/1℃,无持续风向≤3级/无持续风向≤3级
2011年3月27日,晴/多云,16℃/2℃,无持续风向≤3级/无持续风向≤3级
2011年3月28日,晴/晴,17℃/4℃,无持续风向≤3级/无持续风向≤3级
2011年3月29日,晴/晴,19℃/4℃,无持续风向≤3级/无持续风向≤3级
2011年3月30日,晴/晴,22℃/7℃,无持续风向≤3级/无持续风向≤3级
2011年3月31日,多云/小雨,22℃/7℃,无持续风向≤3级/东北风3-4级
2011年4月1日,小雨/小雨,10℃/4℃,无持续风向≤3级/无持续风向≤3级
2011年4月2日,晴/晴,13℃/1℃,无持续风向≤3级/无持续风向≤3级
2011年4月3日,晴/晴,16℃/3℃,无持续风向≤3级/无持续风向≤3级
2011年4月4日,晴/晴,20℃/5℃,无持续风向≤3级/无持续风向≤3级
2011年4月5日,多云/阴,19℃/9℃,无持续风向≤3级/无持续风向≤3级
2011年4月6日,阴/多云,19℃/8℃,无持续风向≤3级/无持续风向≤3级
2011年4月7日,多云/晴,19℃/5℃,北风3-4级/北风3-4级
2011年4月8日,晴/多云,20℃/7℃,无持续风向≤3级/无持续风向≤3级
2011年4月9日,阴/小雨,21℃/11℃,无持续风向≤3级/北风3-4级
2011年4月10日,阴/晴,16℃/4℃,北风3-4级/无持续风向≤3级
2011年4月11日,晴/晴,22℃/7℃,无持续风向≤3级/无持续风向≤3级
2011年4月12日,晴/晴,26℃/9℃,无持续风向≤3级/无持续风向≤3级
2011年4月13日,晴/多云,26℃/12℃,无持续风向≤3级/无持续风向≤3级
2011年4月14日,晴/多云,28℃/15℃,无持续风向≤3级/无持续风向≤3级
2011年4月15日,晴/晴,25℃/8℃,北风3-4级/无持续风向≤3级
2011年4月16日,晴/浮尘,25℃/14℃,西南风3-4级/北风3-4级
2011年4月17日,晴/晴,19℃/9℃,北风5-6级/北风4-5级
2011年4月18日,晴/晴,21℃/8℃,无持续风向≤3级/无持续风向≤3级
2011年4月19日,晴/晴,24℃/11℃,无持续风向≤3级/无持续风向≤3级
2011年4月20日,多云/小雨,25℃/14℃,无持续风向≤3级/无持续风向≤3级
2011年4月21日,小雨/晴,17℃/7℃,无持续风向≤3级/无持续风向≤3级
2011年4月22日,阴/阴,20℃/8℃,北风3-4级/无持续风向≤3级
2011年4月23日,阵雨/晴,18℃/9℃,无持续风向≤3级/无持续风向≤3级
2011年4月24日,晴/多云,22℃/11℃,无持续风向≤3级/无持续风向≤3级
2011年4月25日,阴/阵雨,18℃/9℃,无持续风向≤3级/无持续风向≤3级
2011年4月26日,阵雨/晴,17℃/8℃,无持续风向≤3级/无持续风向≤3级
2011年4月27日,阴/多云,23℃/9℃,无持续风向≤3级/无持续风向≤3级
2011年4月28日,晴/阴,24℃/12℃,无持续风向≤3级/无持续风向≤3级
2011年4月29日,阵雨/阵雨,22℃/12℃,无持续风向≤3级/北风3-4级
2011年4月30日,阴/多云,21℃/13℃,北风5-6级/北风4-5级
2011年5月1日,晴/多云,25℃/13℃,无持续风向≤3级/无持续风向≤3级
2011年5月2日,晴/晴,25℃/11℃,无持续风向≤3级/无持续风向≤3级
2011年5月3日,晴/小雨,24℃/14℃,无持续风向≤3级/无持续风向≤3级
2011年5月4日,阵雨/阵雨,19℃/13℃,无持续风向≤3级/无持续风向≤3级
2011年5月5日,多云/晴,23℃/13℃,无持续风向≤3级/无持续风向≤3级
2011年5月6日,晴/多云,26℃/12℃,无持续风向≤3级/无持续风向≤3级
2011年5月7日,晴/阴,26℃/15℃,无持续风向≤3级/无持续风向≤3级
2011年5月8日,中雨/小雨,19℃/12℃,无持续风向≤3级/无持续风向≤3级
2011年5月9日,多云/阴,26℃/16℃,无持续风向≤3级/无持续风向≤3级
2011年5月10日,晴/多云,26℃/13℃,无持续风向≤3级/无持续风向≤3级
2011年5月11日,多云/浮尘,28℃/12℃,北风3-4级/北风5-6级
2011年5月12日,晴/晴,23℃/13℃,北风5-6级/北风4-5级
2011年5月13日,晴/晴,27℃/15℃,北风3-4级/北风4-5级
2011年5月14日,晴/多云,30℃/15℃,无持续风向≤3级/无持续风向≤3级
2011年5月15日,多云/晴,26℃/13℃,无持续风向≤3级/无持续风向≤3级
2011年5月16日,晴/晴,28℃/14℃,南风3-4级/无持续风向≤3级
2011年5月17日,阴/阴,29℃/16℃,无持续风向≤3级/无持续风向≤3级
2011年5月18日,雷阵雨/阴,31℃/17℃,无持续风向≤3级/北风4-5级
2011年5月19日,晴/阴,25℃/16℃,无持续风向≤3级/无持续风向≤3级
2011年5月20日,多云/多云,23℃/13℃,无持续风向≤3级/无持续风向≤3级
2011年5月21日,晴/晴,26℃/12℃,北风3-4级/无持续风向≤3级
2011年5月22日,晴/晴,29℃/15℃,无持续风向≤3级/无持续风向≤3级
2011年5月23日,晴/晴,31℃/16℃,南风3-4级/无持续风向≤3级
2011年5月24日,晴/多云,28℃/18℃,南风3-4级/无持续风向≤3级
2011年5月25日,多云/多云,27℃/18℃,南风3-4级/无持续风向≤3级
2011年5月26日,阵雨/阵雨,28℃/16℃,无持续风向≤3级/无持续风向≤3级
2011年5月27日,晴/晴,29℃/18℃,无持续风向≤3级/无持续风向≤3级
2011年5月28日,晴/多云,33℃/21℃,南风3-4级/无持续风向≤3级
2011年5月29日,雷阵雨/雷阵雨,28℃/17℃,无持续风向≤3级/无持续风向≤3级
2011年5月30日,多云/晴,30℃/19℃,无持续风向≤3级/无持续风向≤3级
2011年5月31日,多云/多云,29℃/18℃,北风3-4级/无持续风向≤3级
2011年6月1日,晴/晴,32℃/19℃,无持续风向≤3级/无持续风向≤3级
2011年6月2日,多云/阴,35℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年6月3日,晴/晴,33℃/20℃,无持续风向≤3级/无持续风向≤3级
2011年6月4日,多云/晴,31℃/21℃,无持续风向≤3级/无持续风向≤3级
2011年6月5日,阴/雷阵雨,33℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年6月6日,雷阵雨/多云,33℃/20℃,无持续风向≤3级/无持续风向≤3级
2011年6月7日,多云/雷阵雨,36℃/21℃,无持续风向≤3级/无持续风向≤3级
2011年6月8日,多云/晴,34℃/21℃,无持续风向≤3级/无持续风向≤3级
2011年6月9日,多云/多云,34℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年6月10日,雷阵雨/雷阵雨,31℃/18℃,无持续风向≤3级/无持续风向≤3级
2011年6月11日,雷阵雨/多云,29℃/18℃,无持续风向≤3级/无持续风向≤3级
2011年6月12日,晴/晴,35℃/20℃,无持续风向≤3级/无持续风向≤3级
2011年6月13日,晴/多云,35℃/21℃,无持续风向≤3级/无持续风向≤3级
2011年6月14日,多云/多云,33℃/23℃,无持续风向≤3级/无持续风向≤3级
2011年6月15日,雷阵雨/中雨,32℃/19℃,无持续风向≤3级/无持续风向≤3级
2011年6月16日,雷阵雨/雷阵雨,27℃/19℃,无持续风向≤3级/无持续风向≤3级
2011年6月17日,阴/多云,29℃/21℃,无持续风向≤3级/无持续风向≤3级
2011年6月18日,晴/晴,33℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年6月19日,晴/晴,34℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年6月20日,多云/多云,34℃/23℃,无持续风向≤3级/无持续风向≤3级
2011年6月21日,多云/多云,34℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年6月22日,阵雨/阵雨,32℃/21℃,无持续风向≤3级/无持续风向≤3级
2011年6月23日,中雨/大雨,28℃/19℃,无持续风向≤3级/无持续风向≤3级
2011年6月24日,阵雨/多云,26℃/18℃,无持续风向≤3级/无持续风向≤3级
2011年6月25日,多云/晴,29℃/19℃,无持续风向≤3级/无持续风向≤3级
2011年6月26日,晴/多云,32℃/20℃,无持续风向≤3级/无持续风向≤3级
2011年6月27日,多云/阴,32℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年6月28日,晴/晴,32℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年6月29日,晴/雷阵雨,32℃/23℃,无持续风向≤3级/无持续风向≤3级
2011年6月30日,雷阵雨/多云,31℃/24℃,无持续风向≤3级/无持续风向≤3级
2011年7月1日,中到大雨/阵雨,29℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年7月2日,中雨/阴,28℃/23℃,无持续风向≤3级/无持续风向≤3级
2011年7月3日,晴/晴,33℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年7月4日,晴/阴,35℃/24℃,无持续风向≤3级/无持续风向≤3级
2011年7月5日,阴/多云,35℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年7月6日,阴/雷阵雨,32℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年7月7日,雷阵雨/阴,33℃/20℃,无持续风向≤3级/无持续风向≤3级
2011年7月8日,多云/晴,33℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年7月9日,晴/多云,35℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年7月10日,阵雨/阴,34℃/23℃,无持续风向≤3级/无持续风向≤3级
2011年7月11日,多云/雷阵雨,33℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年7月12日,雷阵雨/雷阵雨,31℃/23℃,无持续风向≤3级/无持续风向≤3级
2011年7月13日,多云/多云,32℃/24℃,无持续风向≤3级/无持续风向≤3级
2011年7月14日,雷阵雨/雷阵雨,32℃/23℃,无持续风向≤3级/无持续风向≤3级
2011年7月15日,雷阵雨/雷阵雨,32℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年7月16日,多云/雷阵雨,31℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年7月17日,小到中雨/中雨,30℃/20℃,无持续风向≤3级/无持续风向≤3级
2011年7月18日,雷阵雨/多云,28℃/21℃,无持续风向≤3级/无持续风向≤3级
2011年7月19日,雷阵雨/小到中雨,29℃/21℃,无持续风向≤3级/无持续风向≤3级
2011年7月20日,小到中雨/雷阵雨,29℃/21℃,无持续风向≤3级/无持续风向≤3级
2011年7月21日,雷阵雨/雷阵雨,29℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年7月22日,雷阵雨/阴,32℃/24℃,无持续风向≤3级/无持续风向≤3级
2011年7月23日,雾/雾,34℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年7月24日,大雨/暴雨,31℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年7月25日,小雨/多云,30℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年7月26日,晴/雷阵雨,35℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年7月27日,多云/阴,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年7月28日,多云/多云,32℃/26℃,无持续风向≤3级/无持续风向≤3级
2011年7月29日,大雨/中雨,30℃/23℃,无持续风向≤3级/无持续风向≤3级
2011年7月30日,阴/多云,33℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年7月31日,晴/多云,35℃/24℃,无持续风向≤3级/无持续风向≤3级
2011年8月1日,晴/多云,35℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年8月2日,多云/阴,32℃/24℃,无持续风向≤3级/无持续风向≤3级
2011年8月3日,晴/晴,34℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年8月4日,晴/晴,33℃/23℃,无持续风向≤3级/无持续风向≤3级
2011年8月5日,多云/多云,31℃/24℃,无持续风向≤3级/无持续风向≤3级
2011年8月6日,雷阵雨/阵雨,31℃/23℃,无持续风向≤3级/无持续风向≤3级
2011年8月7日,多云/多云,32℃/24℃,无持续风向≤3级/无持续风向≤3级
2011年8月8日,多云/晴,34℃/24℃,无持续风向≤3级/无持续风向≤3级
2011年8月9日,雷阵雨/雷阵雨,35℃/24℃,无持续风向≤3级/无持续风向≤3级
2011年8月10日,阴/多云,32℃/24℃,无持续风向≤3级/无持续风向≤3级
2011年8月11日,多云/多云,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年8月12日,多云/晴,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2011年8月13日,阴/阴,33℃/24℃,无持续风向≤3级/无持续风向≤3级
2011年8月14日,小到中雨/大到暴雨,30℃/21℃,无持续风向≤3级/无持续风向≤3级
2011年8月15日,中雨/小到中雨,27℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年8月16日,阴/晴,32℃/23℃,无持续风向≤3级/无持续风向≤3级
2011年8月17日,雷阵雨/阵雨,31℃/22℃,无持续风向≤3级/无持续风向≤3级
2011年8月18日,多云/多云,29℃/20℃,无持续风向≤3级/无持续风向≤3级
2011年8月19日,多云/多云,30℃/20℃,无持续风向≤3级/无持续风向≤3级
2011年8月20日,晴/晴,31℃/21℃,无持续风向≤3级/无持续风向≤3级
2011年8月21日,晴/晴,31℃/21℃,无持续风向≤3级/无持续风向≤3级
2011年8月22日,晴/多云,30℃/20℃,无持续风向≤3级/无持续风向≤3级
2011年8月23日,多云/多云,30℃/20℃,无持续风向≤3级/无持续风向≤3级
2011年8月24日,多云/雷阵雨,29℃/20℃,无持续风向≤3级/无持续风向≤3级
2011年8月25日,阵雨/阵雨,27℃/20℃,无持续风向≤3级/无持续风向≤3级
2011年8月26日,雷阵雨/雷阵雨,28℃/20℃,无持续风向≤3级/无持续风向≤3级
2011年8月27日,雷阵雨/阴,28℃/21℃,无持续风向≤3级/无持续风向≤3级
2011年8月28日,多云/晴,30℃/20℃,无持续风向≤3级/无持续风向≤3级
2011年8月29日,晴/多云,32℃/21℃,无持续风向≤3级/无持续风向≤3级
2011年8月30日,晴/多云,31℃/23℃,无持续风向≤3级/无持续风向≤3级
2011年8月31日,雷阵雨/中雨,31℃/20℃,无持续风向≤3级/无持续风向≤3级
2011年9月1日,多云/晴,28℃/19℃,无持续风向≤3级/无持续风向≤3级
2011年9月2日,多云/晴,29℃/20℃,无持续风向≤3级/无持续风向≤3级
2011年9月3日,阴/阴,26℃/18℃,无持续风向≤3级/无持续风向≤3级
2011年9月4日,晴/晴,29℃/19℃,无持续风向≤3级/无持续风向≤3级
2011年9月5日,晴/晴,30℃/20℃,无持续风向≤3级/无持续风向≤3级
2011年9月6日,多云/多云,29℃/20℃,无持续风向≤3级/无持续风向≤3级
2011年9月7日,阴/阴,26℃/18℃,无持续风向≤3级/无持续风向≤3级
2011年9月8日,多云/阵雨,24℃/17℃,无持续风向≤3级/无持续风向≤3级
2011年9月9日,多云/小雨,24℃/15℃,无持续风向≤3级/无持续风向≤3级
2011年9月10日,小雨/阴,19℃/13℃,无持续风向≤3级/无持续风向≤3级
2011年9月11日,多云/多云,25℃/16℃,无持续风向≤3级/无持续风向≤3级
2011年9月12日,阴/阴,24℃/16℃,无持续风向≤3级/无持续风向≤3级
2011年9月13日,多云/雾,24℃/18℃,无持续风向≤3级/无持续风向≤3级
2011年9月14日,多云/多云,24℃/18℃,无持续风向≤3级/无持续风向≤3级
2011年9月15日,多云/阵雨,25℃/17℃,无持续风向≤3级/无持续风向≤3级
2011年9月16日,小雨/阵雨,21℃/14℃,无持续风向≤3级/北风3-4级
2011年9月17日,阴/晴,20℃/11℃,无持续风向≤3级/无持续风向≤3级
2011年9月18日,晴/多云,21℃/10℃,无持续风向≤3级/无持续风向≤3级
2011年9月19日,晴/晴,22℃/10℃,无持续风向≤3级/无持续风向≤3级
2011年9月20日,晴/晴,24℃/11℃,无持续风向≤3级/无持续风向≤3级
2011年9月21日,晴/晴,27℃/11℃,无持续风向≤3级/无持续风向≤3级
2011年9月22日,晴/晴,28℃/12℃,无持续风向≤3级/无持续风向≤3级
2011年9月23日,晴/晴,28℃/13℃,无持续风向≤3级/无持续风向≤3级
2011年9月24日,晴/晴,28℃/15℃,无持续风向≤3级/无持续风向≤3级
2011年9月25日,晴/晴,27℃/15℃,无持续风向≤3级/无持续风向≤3级
2011年9月26日,晴/多云,26℃/16℃,无持续风向≤3级/无持续风向≤3级
2011年9月27日,多云/多云,25℃/17℃,无持续风向≤3级/无持续风向≤3级
2011年9月28日,小雨/多云,22℃/16℃,无持续风向≤3级/北风3-4级
2011年9月29日,晴/晴,22℃/11℃,北风3-4级/无持续风向≤3级
2011年9月30日,晴/晴,21℃/10℃,无持续风向≤3级/无持续风向≤3级
2011年10月1日,晴/晴,21℃/10℃,无持续风向≤3级/无持续风向≤3级
2011年10月2日,晴/晴,21℃/7℃,无持续风向≤3级/无持续风向≤3级
2011年10月3日,晴/晴,21℃/8℃,无持续风向微风/无持续风向微风
2011年10月4日,多云/多云,21℃/12℃,无持续风向≤3级/无持续风向≤3级
2011年10月5日,晴/晴,25℃/10℃,无持续风向≤3级/无持续风向≤3级
2011年10月6日,晴/晴,24℃/10℃,无持续风向≤3级/无持续风向≤3级
2011年10月7日,晴/晴,25℃/11℃,无持续风向≤3级/无持续风向≤3级
2011年10月8日,多云/多云,24℃/15℃,无持续风向≤3级/无持续风向≤3级
2011年10月9日,多云/雾,23℃/15℃,无持续风向≤3级/无持续风向≤3级
2011年10月10日,晴/多云,22℃/13℃,无持续风向≤3级/无持续风向≤3级
2011年10月11日,多云/多云,21℃/14℃,无持续风向≤3级/无持续风向≤3级
2011年10月12日,阴/小到中雨,20℃/14℃,无持续风向≤3级/无持续风向≤3级
2011年10月13日,阵雨/多云,20℃/11℃,无持续风向≤3级/无持续风向≤3级
2011年10月14日,多云/多云,19℃/10℃,北风3-4级/北风3-4级
2011年10月15日,晴/晴,20℃/10℃,北风4-5级/北风3-4级
2011年10月16日,晴/晴,22℃/7℃,无持续风向≤3级/无持续风向≤3级
2011年10月17日,晴/晴,20℃/8℃,无持续风向≤3级/无持续风向≤3级
2011年10月18日,晴/晴,21℃/10℃,无持续风向≤3级/无持续风向≤3级
2011年10月19日,多云/多云,19℃/12℃,无持续风向≤3级/无持续风向≤3级
2011年10月20日,雾/雾,20℃/12℃,无持续风向≤3级/无持续风向≤3级
2011年10月21日,雾/雾,17℃/11℃,无持续风向≤3级/无持续风向≤3级
2011年10月22日,晴/阵雨,20℃/13℃,无持续风向≤3级/无持续风向≤3级
2011年10月23日,阵雨/多云,16℃/5℃,北风4-5级/北风4-5级
2011年10月24日,晴/晴,15℃/2℃,北风3-4级/无持续风向≤3级
2011年10月25日,晴/多云,16℃/4℃,无持续风向≤3级/无持续风向≤3级
2011年10月26日,小雨/阴,13℃/5℃,无持续风向≤3级/无持续风向≤3级
2011年10月27日,晴/晴,16℃/5℃,无持续风向≤3级/无持续风向≤3级
2011年10月28日,晴/多云,16℃/6℃,无持续风向≤3级/无持续风向≤3级
2011年10月29日,晴/雾,18℃/6℃,无持续风向≤3级/无持续风向≤3级
2011年10月30日,多云/雾,17℃/7℃,无持续风向≤3级/无持续风向≤3级
2011年10月31日,多云/小雨,15℃/10℃,无持续风向≤3级/无持续风向≤3级
2011年11月1日,小雨/阴,15℃/8℃,无持续风向≤3级/无持续风向≤3级
2011年11月2日,晴/阴,16℃/9℃,无持续风向≤3级/无持续风向≤3级
2011年11月3日,阴/小雨,14℃/9℃,无持续风向≤3级/无持续风向≤3级
2011年11月4日,小雨/多云,14℃/9℃,无持续风向≤3级/无持续风向≤3级
2011年11月5日,多云/阴,16℃/9℃,无持续风向≤3级/无持续风向≤3级
2011年11月6日,多云/多云,15℃/7℃,无持续风向≤3级/无持续风向≤3级
2011年11月7日,多云/阴,13℃/8℃,无持续风向≤3级/无持续风向≤3级
2011年11月8日,阴/晴,13℃/3℃,无持续风向≤3级/无持续风向≤3级
2011年11月9日,晴/晴,14℃/3℃,无持续风向≤3级/无持续风向≤3级
2011年11月10日,晴/晴,16℃/3℃,无持续风向≤3级/无持续风向≤3级
2011年11月11日,多云/阴,14℃/7℃,无持续风向≤3级/无持续风向≤3级
2011年11月12日,晴/晴,15℃/2℃,北风3-4级/北风3-4级
2011年11月13日,晴/晴,12℃/0℃,无持续风向≤3级/无持续风向≤3级
2011年11月14日,晴/晴,13℃/1℃,无持续风向≤3级/无持续风向≤3级
2011年11月15日,晴/雾,12℃/3℃,无持续风向≤3级/无持续风向≤3级
2011年11月16日,阴/小雨,10℃/6℃,无持续风向≤3级/无持续风向≤3级
2011年11月17日,小雨/多云,8℃/3℃,无持续风向≤3级/无持续风向≤3级
2011年11月18日,多云/阴,12℃/3℃,无持续风向≤3级/北风3-4级
2011年11月19日,晴/晴,9℃/-3℃,北风3-4级/无持续风向≤3级
2011年11月20日,晴/晴,9℃/-3℃,无持续风向≤3级/无持续风向≤3级
2011年11月21日,晴/阴,9℃/1℃,无持续风向≤3级/无持续风向≤3级
2011年11月22日,阴/晴,10℃/-2℃,北风4-5级/北风4-5级
2011年11月23日,晴/晴,7℃/-5℃,无持续风向≤3级/无持续风向≤3级
2011年11月24日,晴/多云,8℃/-3℃,无持续风向≤3级/无持续风向≤3级
2011年11月25日,晴/多云,6℃/0℃,无持续风向≤3级/无持续风向≤3级
2011年11月26日,多云/多云,9℃/-1℃,无持续风向≤3级/无持续风向≤3级
